	Code	PEG	Current	Mean	Increase(%)
180	CLR	0.38	43.17	58.38	35.2
68	ATI	0.17	25.32	34.27	35.3
228	GLOG	0.46	17.28	23.46	35.8
223	ET	0.45	15.28	20.83	36.3
233	PCRX	0.47	38.49	52.5	36.4
69	SPN	0.17	4.51	6.15	36.4
199	CRK	0.42	6.94	9.5	36.9
145	CUI	0.33	1.23	5.67	361.0
185	ADNT	0.39	12.67	17.42	37.5
209	URI	0.43	111.6	153.64	37.7
204	PXD	0.43	143.07	197.18	37.8
140	RM	0.32	24.6	34.0	38.2
215	ATH	0.44	40.83	56.71	38.9
29	RMR	0.09	62.59	87.0	39.0
138	HRI	0.31	37.74	52.6	39.4
148	COG	0.33	26.39	27.66	4.8
169	SLM	0.36	9.92	13.89	40.0
40	DNR	0.11	1.98	2.79	40.9
150	HZO	0.33	18.43	26.0	41.1
154	CPSS	0.34	3.54	5.0	41.2
100	AGS	0.25	23.67	33.44	41.3
78	GNMK	0.2	7.17	10.14	41.4
187	MOS	0.39	26.42	37.74	42.8
31	MGTX	0.1	17.5	25.0	42.9
132	MNK	0.3	21.38	30.67	43.5
164	PGTI	0.35	13.91	20.0	43.8
3	NVLN	0.02	1.21	6.5	437.2
77	NCS	0.19	6.02	8.67	44.0
112	AM	0.27	13.25	19.18	44.8
207	KEM	0.43	17.02	24.67	44.9
195	WTW	0.42	20.02	29.0	44.9
225	CNXM	0.46	14.4	20.88	45.0
234	CXO	0.47	108.42	157.18	45.0
171	SAVE	0.36	52.45	76.38	45.6
126	TILE	0.3	15.1	22.0	45.7
1	BRS	0.01	1.15	6.33	450.4
202	CONN	0.43	24.63	36.0	46.2
136	AVH	0.31	4.06	5.94	46.3
39	ARAY	0.1	4.63	6.78	46.4
257	BNED	0.5	4.44	6.5	46.4
85	ASRT	0.21	4.57	6.7	46.6
124	ESTE	0.29	6.96	10.21	46.7
12	BAS	0.05	4.41	6.5	47.4
235	FANG	0.47	102.61	151.36	47.5
83	GMS	0.21	14.88	22.0	47.8
120	WPX	0.29	12.85	19.09	48.6
166	PE	0.36	18.56	27.63	48.9
125	AAL	0.29	30.21	45.0	49.0
44	AXNX	0.11	23.81	25.0	5.0
45	CHU	0.12	13.14	13.83	5.3
35	GHL	0.1	21.79	22.96	5.4
55	HBM	0.14	7.13	10.71	50.2
198	CNX	0.42	10.35	15.6	50.7
8	GLNG	0.04	21.64	32.97	52.4
208	ECPG	0.43	26.99	41.14	52.4
27	ADES	0.09	11.74	18.0	53.3
89	CPE	0.23	7.65	11.74	53.5
254	MPAA	0.5	18.85	29.0	53.8
80	FCAU	0.21	14.84	22.98	54.9
236	REI	0.47	5.89	9.15	55.3
99	AL	0.25	33.45	52.0	55.5
212	QRTEA	0.44	16.44	25.58	55.6
218	NWHM	0.44	4.5	7.0	55.6
216	CTEK	0.44	4.81	7.49	55.7
238	OEC	0.47	18.48	29.0	56.9
51	ERF	0.13	8.75	13.74	57.0
251	XPO	0.5	51.34	80.63	57.1
170	LPTX	0.36	1.9	12.83	575.3
23	APRN	0.08	0.969	1.54	58.9
18	BLRX	0.07	0.4296	3.0	598.3
41	SPWR	0.11	6.22	6.6	6.1
28	ERIC	0.09	9.3	9.91	6.6
183	INVA	0.39	14.05	15.0	6.8
72	YTRA	0.18	5.0	8.0	60.0
159	TWI	0.35	5.74	9.25	61.1
79	CRZO	0.2	12.04	19.4	61.1
47	ESV	0.12	4.09	6.67	63.1
160	IGT	0.35	13.01	21.94	68.6
221	TSQ	0.45	5.77	9.75	69.0
65	ARLO	0.17	4.13	7.0	69.5
121	NRG	0.29	43.36	46.55	7.4
147	AKS	0.33	2.71	2.92	7.7
36	CSTM	0.1	8.25	14.06	70.4
217	SUPN	0.44	34.21	58.38	70.7
130	FNHC	0.3	16.1	27.5	70.8
56	ONDK	0.14	5.26	9.07	72.4
95	RICK	0.24	22.04	38.0	72.4
211	PRTY	0.44	8.24	14.38	74.5
109	CHRA	0.27	6.51	11.4	75.1
2	MGNX	0.02	19.94	35.0	75.5
50	CEPU	0.13	9.42	16.68	77.1
200	UFAB	0.42	4.27	7.67	79.6
222	EGHT	0.45	20.59	22.27	8.2
82	MESA	0.21	8.13	14.67	80.4
123	COOP	0.29	9.61	17.75	84.7
105	GVP	0.26	2.7	5.0	85.2
116	USAK	0.27	14.57	27.0	85.3
15	MNTA	0.06	13.56	25.75	89.9
113	THC	0.27	28.5	31.1	9.1
203	CAT	0.43	131.84	143.95	9.2
13	CMLS	0.05	17.86	19.5	9.2
107	NMIH	0.27	25.59	28.0	9.4
237	CELG	0.47	89.2	97.66	9.5
17	RYI	0.07	8.44	9.25	9.6
245	QDEL	0.48	65.11	71.4	9.7
213	SB	0.44	1.45	2.76	90.3
37	MDR	0.1	7.1	13.94	96.3
244	SGMO	0.48	9.4	18.71	99.0
34	UPL	0.1	0.5772	1.15	99.2
