Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ALXN,Alexion Pharm Inc,106.41,-1.43,-1.33%,107.38,105.18,1316100,01/03/20
AMAT,Applied Materials,61.21,-0.99,-1.59%,61.73,60.56,5416100,01/03/20
AMCR,Amcor Plc,10.49,-0.14,-1.32%,10.63,10.31,9447300,01/03/20
AMD,Adv Micro Devices,48.6,-0.5,-1.02%,49.39,47.54,73362094,01/03/20
AME,Amtek Inc,100.94,0.14,+0.14%,101.03,99.19,785400,01/03/20
AMGN,Amgen Inc,238.47,-1.63,-0.68%,240.26,236.24,1879000,01/03/20
AMP,Ameriprise Financial Services,167.12,-2.11,-1.25%,168.21,165.79,581300,01/03/20
AMT,American Tower Corp,228.61,0.11,+0.05%,229.83,227,1598800,01/03/20
AMZN,Amazon.com Inc,1874.97,-23.04,-1.21%,1886.2,1864.5,3766600,01/03/20
ANET,Arista Networks Inc,200.85,-3.87,-1.89%,203.83,198.48,766900,01/03/20
ANSS,Ansys Inc,256.97,-2.62,-1.01%,258.11,253.75,468300,01/03/20
ANTM,Anthem Inc,296.88,-3.99,-1.33%,299.53,293.68,986700,01/03/20
AON,AON Plc,207.97,-0.82,-0.39%,208.91,207.01,501600,01/03/20
AOS,Smith [A.O.] Corp,47.35,-0.42,-0.88%,47.5,46.75,883200,01/03/20
APA,Apache Corp,25.69,0.33,+1.30%,26.14,25.53,5940700,01/03/20
APD,Air Products and Chemicals,226,-5.14,-2.22%,230.27,225.98,1710300,01/03/20
APH,Amphenol Corp,108.09,-1.14,-1.04%,108.3,107.44,698900,01/03/20
APTV,Aptiv Plc,94.1,-2.21,-2.29%,94.82,93.6,960500,01/03/20
ARE,Alexandria Real Estate Equities,160.64,0.91,+0.57%,161.36,158.5,371300,01/03/20
ARNC,Arconic Inc,31.49,-0.05,-0.16%,31.53,30.92,1985800,01/03/20
ATO,Atmos Energy Corp,111.11,0.73,+0.66%,111.32,110.06,724200,01/03/20
ATVI,Activision Blizzard,58.67,0.02,+0.03%,58.93,57.65,4466800,01/03/20
AVB,Avalonbay Communities,209.23,1.99,+0.96%,209.57,206.31,672000,01/03/20
AVGO,Broadcom Ltd,314.19,-8.2,-2.54%,320,314.08,2287600,01/03/20
AVY,Avery Dennison Corp,128.51,-0.8,-0.62%,129.24,127.32,605800,01/03/20
AWK,American Water Works,120.98,0.78,+0.65%,122.12,120.44,869300,01/03/20
AXP,American Express Company,124.6,-1.25,-0.99%,125.1,123.94,2090600,01/03/20
AZO,Autozone,1187.98,-1.76,-0.15%,1190.31,1175.74,188700,01/03/20
BA,Boeing Company,332.76,-0.56,-0.17%,334.89,330.3,3878300,01/03/20
BAC,Bank of America Corp,34.9,-0.74,-2.08%,35.15,34.76,50763602,01/03/20
BAX,Baxter International Inc,85.5,-0.37,-0.43%,85.76,84.39,1871700,01/03/20
BBY,Best Buy Company,87.18,-0.13,-0.15%,87.64,85.91,1713500,01/03/20
BDX,Becton Dickinson and Company,269.59,-2.95,-1.08%,271.03,268.41,1562900,01/03/20
BEN,Franklin Resources,25.09,-0.52,-2.03%,25.33,24.87,3735600,01/03/20
BF.B,Brown Forman Inc Cl B,67.34,0.28,+0.42%,67.56,66.62,739800,01/03/20
BIIB,Biogen Inc,290.85,-3.39,-1.15%,292.68,290.22,700600,01/03/20
BK,Bank of New York Mellon Corp,50.27,-0.65,-1.28%,50.43,49.8,2276000,01/03/20
BKNG,Booking Holdings Inc,2065.48,-9.1,-0.44%,2067.69,2035,293900,01/03/20
BKR,Baker Hughes A Ge Co. Cl A,25.64,0.03,+0.12%,25.99,25.36,3125700,01/03/20
BLK,Blackrock,503.57,-5.41,-1.06%,506.7,501.52,337300,01/03/20
BLL,Ball Corp,64.77,0.89,+1.39%,65.11,63.35,2370900,01/03/20
BMY,Bristol-Myers Squibb Company,62.78,-0.56,-0.88%,63.33,62.55,12986699,01/03/20
BR,Broadridge Financial Solutions Llc,123.88,0.1,+0.08%,123.99,121.9,359100,01/03/20
BRK.B,Berkshire Hathaway Cl B,226.18,-2.21,-0.97%,227.43,225.48,3024000,01/03/20
BSX,Boston Scientific Corp,44.98,-0.35,-0.77%,45.21,44.35,4704200,01/03/20
BWA,Borgwarner Inc,42.36,-1.59,-3.62%,43.35,42.22,1050600,01/03/20
BXP,Boston Properties,136.64,1.06,+0.78%,136.87,134.42,456800,01/03/20
C,Citigroup Inc,79.7,-1.53,-1.88%,80.51,79.45,12657000,01/03/20
CAG,Conagra Brands Inc,33.34,-0.29,-0.86%,33.99,33.31,3054200,01/03/20
CAH,Cardinal Health,49.36,-0.73,-1.46%,49.8,49.14,1876200,01/03/20
